PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,AST,TOV,REB,PLUS_MINUS
1631260,AJ Green,MIL,25.0,73,22.7,7.4,2.5,5.8,0.429,2.1,5.0,0.427,0.3,0.4,0.815,1.5,0.5,2.4,3.1
203932,Aaron Gordon,DEN,29.0,51,28.4,14.7,5.2,9.7,0.531,1.5,3.4,0.436,2.8,3.5,0.81,3.2,1.4,4.8,5.9
1628988,Aaron Holiday,HOU,28.0,62,12.8,5.5,1.9,4.3,0.437,1.2,2.9,0.398,0.5,0.7,0.829,1.3,0.6,1.3,1.4
1630174,Aaron Nesmith,IND,25.0,45,24.9,12.0,4.3,8.4,0.507,1.9,4.3,0.431,1.6,1.8,0.913,1.2,0.8,4.0,4.4
1630598,Aaron Wiggins,OKC,26.0,76,22.9,12.0,4.7,9.6,0.488,1.7,4.5,0.383,1.0,1.2,0.831,1.8,0.9,3.9,6.8
1641737,Adem Bona,PHI,22.0,58,15.6,5.8,2.3,3.3,0.703,0.0,0.0,0.0,1.2,1.7,0.67,0.5,1.1,4.2,-1.9
201143,Al Horford,BOS,39.0,60,27.6,9.0,3.3,7.7,0.423,1.9,5.2,0.363,0.6,0.6,0.895,2.1,0.8,6.2,6.6
202692,Alec Burks,MIA,33.0,49,17.6,7.3,2.3,5.5,0.424,1.8,4.2,0.425,0.8,1.0,0.776,1.1,0.6,2.5,2.2
1627936,Alex Caruso,OKC,31.0,54,19.3,7.1,2.6,5.8,0.446,1.1,3.1,0.353,0.8,0.9,0.824,2.5,0.7,2.9,5.9
203458,Alex Len,LAL,32.0,46,8.3,1.6,0.7,1.4,0.508,0.0,0.2,0.222,0.2,0.4,0.471,0.8,0.4,2.1,-3.3
1642259,Alex Sarr,WAS,20.0,67,27.1,13.0,4.9,12.4,0.394,1.6,5.1,0.308,1.7,2.5,0.679,2.4,1.7,6.5,-8.1
1630578,Alperen Sengun,HOU,22.0,76,31.5,19.1,7.5,15.0,0.496,0.3,1.2,0.233,3.9,5.6,0.692,4.9,2.6,10.3,5.4
1641708,Amen Thompson,HOU,22.0,69,32.3,14.1,5.6,10.1,0.557,0.4,1.3,0.275,2.4,3.6,0.684,3.8,2.0,8.2,3.9
1629599,Amir Coffey,LAC,28.0,72,24.3,9.7,3.3,7.1,0.471,1.4,3.4,0.409,1.6,1.8,0.891,1.1,0.6,2.2,-0.9
203083,Andre Drummond,PHI,31.0,40,18.8,7.3,2.9,5.9,0.5,0.1,0.5,0.15,1.4,2.3,0.622,0.9,1.4,7.8,-6.1
1641748,Andre Jackson Jr.,MIL,23.0,67,14.6,3.4,1.4,2.9,0.477,0.4,1.1,0.395,0.2,0.4,0.5,1.2,0.9,2.7,-0.5
1629614,Andrew Nembhard,IND,25.0,65,28.9,10.0,3.8,8.3,0.458,0.8,2.7,0.291,1.7,2.1,0.794,5.0,1.7,3.3,3.1
