SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE
2024-25,1631216,Caleb Houstan,ORL,58,13.6,104.2,108.2,-4.1,0.066,14.3,0.023,0.073,0.047,5.3,0.589,0.605,0.115,96.82,0.061
2024-25,1628997,Caleb Martin,DAL,45,27.1,106.5,112.8,-6.3,0.116,19.0,0.042,0.105,0.073,11.2,0.485,0.513,0.143,98.64,0.063
2024-25,1629629,Cam Reddish,LAL,33,17.9,107.6,115.9,-8.4,0.049,15.8,0.029,0.081,0.056,8.6,0.473,0.498,0.084,100.53,0.04
2024-25,1641715,Cam Whitmore,HOU,51,16.2,113.4,112.3,1.1,0.09,9.2,0.039,0.139,0.086,8.7,0.525,0.549,0.231,100.93,0.108
2024-25,1629661,Cameron Johnson,BKN,57,31.6,110.9,116.7,-5.8,0.179,17.2,0.03,0.113,0.07,8.8,0.582,0.632,0.224,97.41,0.124
2024-25,1626166,Cameron Payne,NYK,72,15.1,116.6,107.5,9.1,0.251,28.1,0.013,0.081,0.047,7.2,0.506,0.532,0.2,100.23,0.089
2024-25,1627747,Caris LeVert,ATL,64,24.9,120.5,113.4,7.2,0.178,22.5,0.026,0.096,0.062,7.9,0.556,0.582,0.191,103.21,0.094
2024-25,1641717,Cason Wallace,OKC,68,27.6,117.2,107.1,10.1,0.117,23.5,0.036,0.079,0.057,8.0,0.55,0.562,0.124,101.87,0.075
2024-25,1629646,Charles Bassey,SAS,36,10.4,101.6,117.5,-15.9,0.072,9.9,0.133,0.24,0.185,13.5,0.581,0.597,0.164,105.46,0.113
2024-25,1631096,Chet Holmgren,OKC,32,27.4,121.7,105.6,16.1,0.091,12.1,0.054,0.208,0.136,10.8,0.554,0.599,0.214,103.83,0.122
2024-25,1628449,Chris Boucher,TOR,50,17.2,113.3,113.5,-0.2,0.057,7.0,0.077,0.175,0.125,6.2,0.586,0.615,0.208,99.28,0.126
2024-25,101108,Chris Paul,SAS,82,28.0,114.2,115.0,-0.8,0.342,45.0,0.014,0.11,0.062,9.6,0.547,0.58,0.137,100.48,0.102
2024-25,1631128,Christian Braun,DEN,79,33.9,122.7,114.5,8.2,0.096,17.1,0.039,0.109,0.077,6.8,0.634,0.665,0.155,101.04,0.096
2024-25,1631132,Christian Koloko,LAL,37,9.2,104.7,106.0,-1.3,0.068,15.8,0.095,0.165,0.129,11.9,0.606,0.624,0.104,101.19,0.082
2024-25,203991,Clint Capela,ATL,55,21.4,108.7,111.5,-2.7,0.073,11.4,0.132,0.238,0.183,8.7,0.559,0.564,0.16,105.23,0.117
2024-25,1629632,Coby White,CHI,74,33.1,111.5,113.9,-2.5,0.197,18.8,0.01,0.095,0.053,10.1,0.55,0.601,0.237,105.37,0.103
2024-25,1628998,Cody Martin,PHX,53,22.1,108.1,111.3,-3.2,0.128,20.6,0.041,0.136,0.088,10.0,0.485,0.509,0.142,101.2,0.08
2024-25,1642262,Cody Williams,UTA,50,21.2,103.0,118.5,-15.5,0.078,15.6,0.024,0.075,0.049,11.6,0.391,0.419,0.122,103.19,0.021
2024-25,1641732,Colby Jones,WAS,39,13.2,104.4,114.8,-10.4,0.123,20.8,0.038,0.123,0.08,10.8,0.519,0.544,0.138,99.47,0.078
2024-25,1630175,Cole Anthony,MEM,67,18.4,107.7,109.0,-1.2,0.253,21.6,0.034,0.131,0.08,11.6,0.494,0.531,0.238,97.7,0.105
2024-25,1631221,Collin Gillespie,PHX,33,14.0,115.6,118.4,-2.8,0.235,29.7,0.048,0.124,0.086,6.5,0.554,0.578,0.17,98.66,0.105
2024-25,1629012,Collin Sexton,UTA,63,27.9,110.4,117.9,-7.5,0.246,18.9,0.033,0.06,0.047,11.5,0.543,0.593,0.264,101.38,0.106
