PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
1631260,AJ Green,MIL,25.0,73,1659.1416666666667,541,182,424,0.429,155,363,0.427,22,27,0.815,18,156,174,108,37,7,40,157,227
203932,Aaron Gordon,DEN,29.0,51,1446.7166666666667,748,264,497,0.531,75,172,0.436,145,179,0.81,80,167,247,164,23,14,73,82,301
1628988,Aaron Holiday,HOU,28.0,62,792.2466666666667,340,117,268,0.437,72,181,0.398,34,41,0.829,13,65,78,83,19,11,37,64,88
1630174,Aaron Nesmith,IND,25.0,45,1121.6183333333333,541,192,379,0.507,84,195,0.431,73,80,0.913,37,141,178,54,35,17,37,114,198
1630598,Aaron Wiggins,OKC,26.0,76,1743.9,914,355,728,0.488,130,339,0.383,74,89,0.831,81,214,295,134,60,18,69,101,514
1641745,Adam Flagler,OKC,25.0,37,202.965,65,25,96,0.26,14,72,0.194,1,2,0.5,7,20,27,12,8,3,4,15,7
1641737,Adem Bona,PHI,22.0,58,904.55,337,135,192,0.703,0,1,0.0,67,100,0.67,92,153,245,27,26,69,61,125,-112
1642349,Ajay Mitchell,OKC,23.0,36,596.955,234,91,184,0.495,23,60,0.383,29,35,0.829,18,50,68,64,25,4,29,68,127
201143,Al Horford,BOS,39.0,60,1658.5733333333333,538,195,461,0.423,114,314,0.363,34,38,0.895,79,290,369,128,36,51,46,81,397
202692,Alec Burks,MIA,33.0,49,863.4966666666667,356,115,271,0.424,88,207,0.425,38,49,0.776,15,109,124,55,28,7,29,37,110
1627936,Alex Caruso,OKC,31.0,54,1040.635,382,140,314,0.446,60,170,0.353,42,51,0.824,38,121,159,137,87,30,37,102,321
203458,Alex Len,LAL,32.0,46,379.79,74,32,63,0.508,2,9,0.222,8,17,0.471,38,57,95,38,9,21,20,56,-153
1642259,Alex Sarr,WAS,20.0,67,1814.2283333333332,869,326,828,0.394,105,341,0.308,112,165,0.679,124,311,435,161,44,101,114,146,-546
1630578,Alperen Sengun,HOU,22.0,76,2394.9766666666665,1451,567,1143,0.496,21,90,0.233,296,428,0.692,262,524,786,372,84,61,194,209,410
1641708,Amen Thompson,HOU,22.0,69,2225.415,970,388,697,0.557,25,91,0.275,169,247,0.684,192,372,564,265,97,89,138,167,268
1629599,Amir Coffey,LAC,28.0,72,1747.54,696,240,510,0.471,101,247,0.409,115,129,0.891,32,129,161,77,40,7,45,120,-66
203083,Andre Drummond,PHI,31.0,40,750.6333333333333,293,117,234,0.5,3,20,0.15,56,90,0.622,109,201,310,34,39,18,55,94,-245
1641748,Andre Jackson Jr.,MIL,23.0,67,980.0916666666667,230,94,197,0.477,30,76,0.395,12,24,0.5,65,117,182,83,34,14,58,114,-33
1629614,Andrew Nembhard,IND,25.0,65,1880.67,653,247,539,0.458,51,175,0.291,108,136,0.794,34,182,216,326,79,11,112,149,204
203952,Andrew Wiggins,MIA,30.0,60,1842.2816666666668,1078,376,839,0.448,130,348,0.374,196,257,0.763,89,180,269,158,60,50,99,101,-100
1629014,Anfernee Simons,POR,26.0,70,2291.8983333333335,1348,479,1125,0.426,215,593,0.363,175,194,0.902,25,164,189,337,60,5,143,117,-220
1641710,Anthony Black,ORL,21.0,78,1886.9933333333333,736,262,620,0.423,62,195,0.318,150,197,0.761,52,178,230,240,86,48,139,166,-40
203076,Anthony Davis,DAL,32.0,51,1705.4883333333332,1261,470,910,0.516,35,124,0.282,286,369,0.775,134,456,590,181,59,110,113,98,25
